ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt26548664,Tonight You're Sleeping with Me, Robert Wichrowski , Poland , Polish , Drama Romance ,3.8
tt26919016,Yuzuru Hanyu Ice Story GIFT at Tokyo Dome, Mikiko , Japan , Japanese , Documentary Sport ,8.7
tt7798604,We Have a Ghost, Christopher Landon , United States , English , Supernatural Horror Adventure Comedy Family Fantasy Horror Mystery ,6.1
tt13515090,Joyride, Emer Reynolds ," Ireland, United States, United Kingdom ", English , Comedy Drama ,6.1
tt30073158,Dhakshina, Tulasi Ram Osho , India , Telugu , Crime Drama ,9.2
tt3155298,Luther: The Fallen Sun, Jamie Payne ," United Kingdom, United States "," English, Estonian, Portuguese ", Psychological Thriller Action Crime Drama Mystery Thriller ,6.4
tt23047172,Too Much Love, Kivanç Baruönü , Turkey , Turkish , Comedy ,4.0
tt16491324,Honor Society, Oran Zegman ," United States, Canada "," English, German ", Teen Comedy Comedy Romance ,6.5
tt33348082,Aaragan, Arun KR , India , Tamil , Drama ,9.6
tt20274588,Albert Brooks: Defending My Life, Rob Reiner , United States , English , Biography Documentary ,7.4
tt7469828,Paradise Highway, Anna Gutto ," Germany, United States, Switzerland ", English , Conspiracy Thriller Crime Drama Thriller ,5.7
tt33496202,Ramnagar Bunny, Srinivas Mahath , India , Telugu , Comedy ,9.5
tt33311713,Mr.Celebrity, Ravi Kishore Chandina , India , Telugu , Drama ,8.9
tt33396660,Bahirbhoomi, Ramprasad Konduru , India , Telugu , Mystery Thriller ,5.6
tt20465746,Last Night of Amore, Andrea Di Stefano , Italy ," Italian, English, Chinese, French ", Drama Thriller ,7.1
tt20048582,Canary Black, Pierre Morel ," United Kingdom, United States, Croatia ", English , Action Drama ,5.3
tt6950476,Tejas, Sarvesh Mewara , India , Hindi , Action Drama Thriller ,4.3
tt13825336,Good Luck Jerry, Siddharth Sen , India , Hindi , Comedy Crime Drama ,5.5
tt22874848,The Silent Hour, Brad Anderson ," Malta, United States, Canada ", English , Action Crime Thriller ,6.0
tt4589218,Five Nights at Freddy's, Emma Tammi , United States , English , Supernatural Horror Suspense Mystery Horror Mystery Thriller ,5.4
tt30217143,Trouble, Jon Holmberg , Sweden , Swedish , Drug Crime Action Comedy Crime ,6.1
tt12747748,Leave the World Behind, Sam Esmail , United States , English , Psychological Thriller Drama Mystery Thriller ,6.4
tt32856857,Chitti - Potti, Bhaskar Yadav Dasari , India , Telugu , Drama Family ,9.2
tt26787296,Burning Betrayal, Diego Freitas , Brazil , Portuguese , Erotic Thriller Steamy Romance Drama Mystery Romance Thriller ,4.1
tt26448811,On the Adamant, Nicolas Philibert ," France, Japan ", French , Documentary ,6.8
tt27987046,Uprising, Sang-man Kim , South Korea ," Korean, Japanese ", Action Drama History Thriller War ,6.6
tt14557302,Moon Man, Chiyu Zhang , China , Mandarin , Comedy Sci-Fi ,6.4
tt22505214,Brave Citizen, Park Jin-Pyo , South Korea , Korean , Action Comedy Drama ,6.5
tt21908428,Oh My Darling," ""Alfred D Samuel"" ", India , Malayalam , Romance ,4.4
tt9860566,Brothers, Max Barbakow , United States , English , Dark Comedy Action Comedy Crime ,5.4
tt22796890,Hell House LLC Origins: The Carmichael Manor, Stephen Cognetti , United States , English , Found Footage Horror Horror Mystery ,6.2
tt15333544,Happily Married," Sabu Aloysius, Arunkumar M ", India , Kannada , Thriller ,8.3
tt27214365,Trunk: Locked In, Marc Schießer , Germany ," German, English ", Drama Thriller ,5.4
tt26758372,Meiyazhagan, C. Prem Kumar , India , Tamil , Drama Family ,8.4
tt27430218,Attack of the Corn Zombies," Ashley Hefner, Steve Hermann ", United States , English , Horror Sci-Fi Thriller ,8.3
tt27729779,The Platform 2, Galder Gaztelu-Urrutia , Spain , Spanish , Dystopian Sci-Fi Horror Sci-Fi Thriller ,5.0
tt15373762,Case 30, Sandeep Pydimarri , India , Telugu , Crime Romance Thriller ,7.2
tt25377618,Pranaya Vilasam, Nikhil Muraly , India , Malayalam , Comedy Drama Romance ,6.8
tt31450182,Amber Alert, Kerry Bellessa , United States , English , Thriller ,5.9
tt21309170,Chhalla Mud Ke Nahi Aaya, Amrinder Gill , India ," Punjabi, English, Spanish, Italian ", Drama Family ,7.7
tt22036922,Mr. King, Sashidhar Chavali , India , Telugu , Drama Romance Thriller ,5.0
tt33355888,Vindicating Trump," ""Debbie DSouza"", ""Dinesh DSouza"", Bruce Schooley ", United States , English , Documentary ,3.9
tt28631109,Dharmaveer 2, Pravin Tarde , India ," Marathi, Hindi ", Biography Documentary Drama ,7.2
tt23723678,Sattam En Kaiyil, Chachi , India , Tamil , Crime Horror Thriller ,8.5
tt20452454,Binny and Family, Ssanjay Tripaathy , India ," English, Hindi ", Drama ,8.2
tt27672387,Jokes & Cigarettes, David Trueba , Spain ," Catalan, Spanish ", Biography ,7.2
tt27419292,Killer Heat, Philippe Lacôte , United States ," English, Greek ", Crime Drama Mystery Romance Thriller ,5.6
tt10602132,Something Is About to Happen, Antonio Méndez Esparza ," Spain, Romania ", Spanish , Horror Romance ,5.9
tt13014746,Manticore, Carlos Vermut ," Spain, Estonia "," Spanish, Catalan ", Drama ,7.1
tt10481990,Rabia and Olivia, Shadab Khan ," Canada, India ", English , Drama Family ,7.4
tt11821912,Devara Part 1, Koratala Siva , India ," Telugu, Tamil, Malayalam, Kannada ", Action Epic Action Drama Thriller ,6.3
tt18394190,Old Dads, Bill Burr , United States , English , Comedy ,6.2
tt21223140,Dead Line, Bommareddy VRR , India , Telugu , Thriller ,7.9
tt20258974,Life, Zeki Demirkubuz , Turkey , Turkish , Drama ,7.3
tt23218054,A True Gentleman, Onur Bilgetay , Turkey , Turkish , Drama Romance ,4.5
tt11951276,The Other Zoey, Sara Zandieh , United States , English , Romantic Comedy Comedy Drama Romance ,5.9
tt10245072,Salem's Lot, Gary Dauberman , United States , English , Vampire Horror Horror Thriller ,5.6
tt33058713,Jailbreak: Love on the Run, Dan Abrams , United States , English , Crime Documentary ,6.4
tt21272402,Gulu Gulu," Rathna Kumar, Rathna Kumar ", India , Tamil , Comedy ,5.8
tt14056670,Paappan, Joshiy , India , Malayalam , Crime Drama Mystery Thriller ,6.7
tt28821371,MadS, David Moreau , France , French , Teen Horror Zombie Horror Horror Thriller ,6.5
tt25852740,Breakout, Subbu Cherukuri , India , Telugu , Mystery Thriller ,6.8
tt21097192,Die Alone, Lowell Dean ," Canada, United States ", English , Horror Thriller ,5.6
tt10928202,Hawa, Mejbaur Rahman Sumon ," Bangladesh, France "," Bengali, English ", Drama Mystery ,7.7
